Title,Abstract,Category,PDF File,Year
CONNECTIVITY VERSUS ENTROPY,"How does the connectivity of a neural network (number of synapses per neuron) relate to the complexity of the problems it can handle (measured by the entropy)? Switching theory would suggest no relation at all, since all Boolean functions can be implemented using a circuit with very low connectivity (e.g., using two-input NAND gates). However, for a network that learns a problem from examples using a local learning rule, we prove that the entropy of the problem becomes a lower bound for the connectivity of the network. INTRODUCTION The most distinguishing feature of neural networks is their ability to spon taneously learn the desired function from 'training' samples, i.e., their ability to program themselves. Clearly, a given neural network cannot just learn any function, there must be some restrictions on which networks can learn which functions. One obvious restriction, which is independent of the learning aspect, is that the network must be big enough to accommodate the circuit comp",Optimization & Theoretical ML,03afdbd66e7929b125f8597834fa83a4-Paper.pdf,1987
BIT - SERIAL NEURAL NETWORKS,"A bit - serial VLSI neural network is described from an initial architecture for a synapse array through to silicon layout and board design. The issues surrounding bit - serial computation, and analog/digital arithmetic are discussed and the parallel development of a hybrid analog/digital neural network is outlined. Learning and recall capabilities are reported for the bit - serial network along with a projected specification for a 64 - neuron, bit - serial board operating at 20 MHz. This tech nique is extended to a 256 (2562 synapses) network with an update time of 3ms, using a ""paging"" technique to time - multiplex calculations through the synapse array.",Computer Vision,02e74f10e0327ad868d138f2b4fdd6f0-Paper.pdf,1987
THE HOPFIELD MODEL WITH MULT I-LEVEL NEURONS,"The Hopfield neural network. model for associative memory is generalized. The generalization replaces two state neurons by neurons taking a richer set of values. Two classes of neuron input output relations are developed guaranteeing convergence to stable states. The first is a class of ""continuous"" rela- tions and the second is a class of allowed quantization rules for the neurons. The information capacity for networks from the second class is fOWld to be of order N 3 bits for a network with N neurons. A generalization of the sum of outer products learning rule is developed and investigated as well. © American Institute of Physics 1988 279 I. INTRODUCTION The ability to perfonn collective computation in a distributed system of flexible structure without global synchronization is an important engineering objective. Hopfield's neural network [1] is such a model of associative content addressable memory. An important property of the Hopfield neural network is its guaranteed convergence t",Optimization & Theoretical ML,072b030ba126b2f4b2374f342be9ed44-Paper.pdf,1987
How Neural Nets Work,"There is presently great interest in the abilities of neural networks to mimic ""qualitative reasoning"" by manipulating neural incodings of symbols. Less work has been performed on using neural networks to process floating point numbers and it is sometimes stated that neural networks are somehow inherently inaccu rate and therefore best suited for ""fuzzy"" qualitative reasoning. Nevertheless, the potential speed of massively parallel operations make neural net ""number crunching"" an interesting topic to explore. In this paper we discuss some of our work in which we demonstrate that for certain applications neural networks can achieve significantly higher numerical accuracy than more conventional tech niques. In particular, prediction of future values of a chaotic time series can be performed with exceptionally high accuracy. We analyze how a neural net is able to do this , and in the process show that a large class of functions from Rn. ~ Rffl may be accurately approximated by a backpropa",Deep Learning,093f65e080a295f8076b1c5722a46aa2-Paper.pdf,1987
SPATIAL ORGANIZATION OF NEURAL,"The aim of this paper is to explore the spatial organization of neural networks under Markovian assumptions, in what concerns the be haviour of individual cells and the interconnection mechanism. Space organizational properties of neural nets are very relevant in image modeling and pattern analysis, where spatial computations on stocha stic two-dimensional image fields are involved. As a first approach we develop a random neural network model, based upon simple probabi listic assumptions, whose organization is studied by means of dis crete-event simulation. We then investigate the possibility of ap proXimating the random network's behaviour by using an analytical ap proach originating from the theory of general product-form queueing networks. The neural network is described by an open network of no des, in which customers moving from node to node represent stimula tions and connections between nodes are expressed in terms of sui tably selected routing probabilities. We obtain the solut",Reinforcement Learning,14bfa6bb14875e45bba028a21ed38046-Paper.pdf,1987
A NEURAL-NETWORK SOLUTION TO THE CONCENTRATOR,"Networks of simple analog processors having neuron-like properties have been employed to compute good solutions to a variety of optimization prob lems. This paper presents a neural-net solution to a resource allocation prob lem that arises in providing local access to the backbone of a wide-area com munication network. The problem is described in terms of an energy function that can be mapped onto an analog computational network. Simulation results characterizing the performance of the neural computation are also presented. INTRODUCTION This paper presents a neural-network solution to a resource allocation problem that arises in providing access to the backbone of a communication network. 1 In the field of operations research, this problem was first known as the warehouse location problem and heuristics for finding feasible, suboptimal solutions have been developed previously.2. More recently it has been known 3 as the multifacility location problem and as the concentrator assignment p",Optimization & Theoretical ML,1679091c5a880faf6fb5e6087eb1b2dc-Paper.pdf,1987
LEARNING BY ST ATE RECURRENCE DETECfION,"This research investigates a new technique for unsupervised learning of nonlinear control problems. The approach is applied both to Michie and Chambers BOXES algorithm and to Barto, Sutton and Anderson's extension, the ASE/ACE system, and has significantly improved the convergence rate of stochastically based learning automata. Recurrence learning is a new nonlinear reward-penalty algorithm. It exploits information found during learning trials to reinforce decisions resulting in the recurrence of nonfailing states. Recurrence learning applies positive reinforcement during the exploration of the search space, whereas in the BOXES or ASE algorithms, only negative weight reinforcement is applied, and then only on failure. Simulation results show that the added information from recurrence learning increases the learning rate. Our empirical results show that recurrence learning is faster than both basic failure driven learning and failure prediction methods. Although recurrence learning has",Reinforcement Learning,182be0c5cdcd5072bb1864cdee4d3d6e-Paper.pdf,1987
STABILITY RESULTS FOR NEURAL NETWORKS,"In the present paper we survey and utilize results from the qualitative theory of large scale interconnected dynamical systems in order to develop a qualitative theory for the Hopfield model of neural networks. In our approach we view such networks as an inter connection of many single neurons. Our results are phrased in terms of the qualitative properties of the individual neurons and in terms of the properties of the interconnecting structure of the neural networks. Aspects of neural networks which we address include asymptotic stability, exponential stability, and instability of an equilibrium; estimates of trajectory bounds; estimates of the domain of attraction of an asymptotically stable equilibrium; and stability of neural networks under structural perturbations. INTRODUCTION In recent years, neural networks have attracted considerable attention as candidates for novel computational systemsl-3. These types of large-scale dynamical systems, in analogy to biological structures, ta",Optimization & Theoretical ML,19ca14e7ea6328a42e0eb13d585e4c22-Paper.pdf,1987
INTRODUCTION TO A SYSTEM FOR IMPLEMENTING NEURAL NET,"Neural networks have attracted much interest recently, and using parallel architectures to simulate neural networks is a natural and necessary applica tion. The SIMD model of parallel computation is chosen, because systems of this type can be built with large numbers of processing elements. However, such systems are not naturally suited to generalized communication. A method is proposed that allows an implementation of neural network connections on massively parallel SIMD architectures. The key to this system is an algorithm that allows the formation of arbitrary connections between the ""neurons"". A feature is the ability to add new connections quickly. It also has error recov ery ability and is robust over a variety of network topologies. Simulations of the general connection system, and its implementation on the Connection Ma chine, indicate that the time and space requirements are proportional to the product of the average number of connections per neuron and the diameter of the int",Deep Learning,1c383cd30b7c298ab50293adfecb7b18-Paper.pdf,1987
OPTIMIZAn ON WITH ARTIFICIAL NEURAL NETWORK SYSTEMS:,General formulae for mapping optimization problems into systems of ordinary differential equations associated with artificial neural networks are presented. A comparison is made to optim ization using gradient-search methods. The perfonnance measure is the settling time from an initial state to a target state. A simple analytical example illustrates a situation where dynamical systems representing artificial neural network methods would settle faster than those representing gradient search. Settling time was investigated for a more complicated optimization problem using com puter simulations. The problem was a simplified version of a problem in medical imaging: deter mining loci of cerebral activity from electromagnetic measurements at the scalp. The simulations showed that gradient based systems typically settled 50 to 100 times faster than systems based on current neural network optimization methods. INTRODUCTION Solving optimization problems with systems of equations based on neurob,Optimization & Theoretical ML,1f0e3dad99908345f7439f8ffabdffc4-Paper.pdf,1987
