Title,Authors,PDF Link,Year
Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,"Masatoshi Uehara, Masahiro Kato, Shota Yasui",https://papers.nips.cc//paper_files/paper/2020/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf,2020
A graph similarity for deep learning,Seongmin Ok,https://papers.nips.cc//paper_files/paper/2020/file/0004d0b59e19461ff126e3a08a814c33-Paper.pdf,2020
"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method","Simiao Ren, Willie Padilla, Jordan Malof",https://papers.nips.cc//paper_files/paper/2020/file/007ff380ee5ac49ffc34442f5c2a2b86-Paper.pdf,2020
An Unsupervised Information-Theoretic Perceptual Quality Metric,"Sangnie Bhardwaj, Ian Fischer, Johannes Ballé, Troy Chinen",https://papers.nips.cc//paper_files/paper/2020/file/00482b9bed15a272730fcb590ffebddd-Paper.pdf,2020
Beyond Value-Function Gaps: Improved Instance-Dependent Regret Bounds for Episodic Reinforcement Learning,"Christoph Dann, Teodor Vanislavov Marinov, Mehryar Mohri, Julian Zimmert",https://papers.nips.cc//paper_files/paper/2021/file/000c076c390a4c357313fca29e390ece-Paper.pdf,2021
Learning One Representation to Optimize All Rewards,"Ahmed Touati, Yann Ollivier",https://papers.nips.cc//paper_files/paper/2021/file/003dd617c12d444ff9c80f717c3fa982-Paper.pdf,2021
Finding Discriminative Filters for Specific Degradations in Blind Super-Resolution,"Liangbin Xie, Xintao Wang, Chao Dong, Zhongang Qi, Ying Shan",https://papers.nips.cc//paper_files/paper/2021/file/008bd5ad93b754d500338c253d9c1770-Paper.pdf,2021
On Kernelized Multi-Armed Bandits with Constraints,"Xingyu Zhou, Bo Ji",https://papers.nips.cc//paper_files/paper/2022/file/00295cede6e1600d344b5cd6d9fd4640-Paper-Conference.pdf,2022
Geometric Order Learning for Rank Estimation,"Seon-Ho Lee, Nyeong Ho Shin, Chang-Su Kim",https://papers.nips.cc//paper_files/paper/2022/file/00358de35a101a372ea0412bed913c86-Paper-Conference.pdf,2022
UniDoc: Unified Pretraining Framework for Document Understanding,"Jiuxiang Gu, Jason Kuen, Vlad I Morariu, Handong Zhao, Rajiv Jain, Nikolaos Barmpalios, Ani Nenkova, Tong Sun",https://papers.nips.cc//paper_files/paper/2021/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf,2021
